MRA_Lab_ID,Parameter,corrected,log_corrected
IHCA _CTRL_PFAS_A001,Perfluorohexanoic acid (PFHxA),0.021,-3.863232841258714
IHCA _CTRL_PFAS_A001,Perfluorohexanesulfonic acid (PFHxS),0.1,-2.3025850929940455
IHCA _CTRL_PFAS_A001,Perfluorononanoic acid (PFNA),0.037,-3.2968373663379125
IHCA _CTRL_PFAS_A001,Perfluorooctanoic acid (PFOA),0.042,-3.170085660698769
IHCA _CTRL_PFAS_A001,Perfluorooctanesulfonic acid (PFOS),0.367,-1.0023934309275668
IHCA _CTRL_PFAS_A001,Perfluorooctanesulfonamide (FOSA),0.01,-4.605170185988091
IHCA _CTRL_PFAS_A001,Perfluoropentanesulfonic acid (PFPeS),0.01,-4.605170185988091
IHCA _CTRL_PFAS_A001,Perfluoroundecanoic acid (PFUdA),0.034,-3.3813947543659757
IHCA _CTRL_PFAS_A002,Perfluorobutanoic acid (PFBA),0.02,-3.912023005428146
IHCA _CTRL_PFAS_A002,Perfluorobutanesulfonic acid (PFBS),0.01,-4.605170185988091
IHCA _CTRL_PFAS_A002,Perfluorodecanoic acid (PFDA),0.02,-3.912023005428146
IHCA _CTRL_PFAS_A002,Perfluorodecanesulfonic acid (PFDS),0.016,-4.135166556742356
IHCA _CTRL_PFAS_A002,Perfluorododecanoic acid (PFDoA),0.01,-4.605170185988091
IHCA _CTRL_PFAS_A002,Perfluoroheptanoic acid (PFHpA),0.01,-4.605170185988091
IHCA _CTRL_PFAS_A002,Perfluorohexanoic acid (PFHxA),0.01,-4.605170185988091
IHCA _CTRL_PFAS_A002,Perfluorohexanesulfonic acid (PFHxS),0.016,-4.135166556742356
IHCA _CTRL_PFAS_A002,Perfluorononanoic acid (PFNA),0.01,-4.605170185988091
IHCA _CTRL_PFAS_A002,Perfluorooctanoic acid (PFOA),0.042,-3.170085660698769
IHCA _CTRL_PFAS_A002,Perfluorooctanesulfonic acid (PFOS),0.026,-3.649658740960655
IHCA _CTRL_PFAS_A002,Perfluorooctanesulfonamide (FOSA),0.01,-4.605170185988091
IHCA _CTRL_PFAS_A002,Perfluoropentanesulfonic acid (PFPeS),0.01,-4.605170185988091
IHCA _CTRL_PFAS_A002,Perfluoroundecanoic acid (PFUdA),0.01,-4.605170185988091
GLMC _CTRL_PFAS_A002,Perfluorobutanoic acid (PFBA),0.072,-2.631089159966082
GLMC _CTRL_PFAS_A002,Perfluorobutanesulfonic acid (PFBS),0.054,-2.9187712324178627
GLMC _CTRL_PFAS_A002,Perfluorodecanoic acid (PFDA),0.054,-2.9187712324178627
GLMC _CTRL_PFAS_A002,Perfluorodecanesulfonic acid (PFDS),0.015,-4.199705077879927
GLMC _CTRL_PFAS_A002,Perfluorododecanoic acid (PFDoA),0.01,-4.605170185988091
GLMC _CTRL_PFAS_A002,Perfluoroheptanoic acid (PFHpA),0.01,-4.605170185988091
GLMC _CTRL_PFAS_A002,Perfluorohexanoic acid (PFHxA),0.01,-4.605170185988091
